accuracy,loss,val_accuracy,val_loss,epoch
0.8933928608894348,0.2983348071575165,0.5130555629730225,1.0488817691802979,1
0.8696428537368774,0.3167557418346405,0.6961110830307007,0.6316834092140198,2
0.9112499952316284,0.2352703958749771,0.7919444441795349,0.48771920800209045,3
0.9258928298950195,0.19923914968967438,0.831250011920929,0.4072498381137848,4
0.936904788017273,0.17300105094909668,0.851527750492096,0.3683187663555145,5
0.9392262101173401,0.1635797917842865,0.8650000095367432,0.3395552635192871,6
0.9442856907844543,0.15168370306491852,0.872083306312561,0.3220290243625641,7
0.9464285969734192,0.14431673288345337,0.8741666674613953,0.31974154710769653,8
0.9447023868560791,0.14075802266597748,0.8809722065925598,0.3024744689464569,9
0.946309506893158,0.13504068553447723,0.8808333277702332,0.30534908175468445,10
0.9495833516120911,0.1321755200624466,0.886388897895813,0.29178276658058167,11
0.9518452286720276,0.12945173680782318,0.8909721970558167,0.2802661955356598,12
0.9516666531562805,0.12441970407962799,0.8924999833106995,0.2782560884952545,13
0.9511309266090393,0.1251526176929474,0.8959722518920898,0.27150312066078186,14
0.95333331823349,0.12147840112447739,0.8968055844306946,0.27346211671829224,15
0.9518452286720276,0.12343233823776245,0.8986111283302307,0.26654165983200073,16
0.9540476202964783,0.1191866472363472,0.8998610973358154,0.26298415660858154,17
0.9543452262878418,0.11704143136739731,0.8994444608688354,0.2648129165172577,18
0.954285740852356,0.11670055985450745,0.9041666388511658,0.25364771485328674,19
0.9563690423965454,0.11393272131681442,0.9048610925674438,0.25453856587409973,20
0.956250011920929,0.11415103077888489,0.9040277600288391,0.25578954815864563,21
0.9558928608894348,0.11704497039318085,0.9075000286102295,0.24455364048480988,22
0.9559524059295654,0.11454426497220993,0.9072222113609314,0.24617813527584076,23
0.9566666483879089,0.11495900899171829,0.9075000286102295,0.24594104290008545,24
0.9560714364051819,0.11209677159786224,0.9087499976158142,0.24321192502975464,25
