epoch,g_loss,d_loss,time_sec
1,0.026907295,0.029925302,59.119070529937744
2,0.027755374,0.020888412,58.8178334236145
3,0.028355839,0.02566317,58.82991862297058
4,0.02921515,0.017050598,58.98654651641846
5,0.028887926,0.022728253,58.7644464969635
6,0.02896404,0.022232404,58.79034638404846
7,0.02915487,0.0130918715,58.771942377090454
8,0.029649997,0.017451141,59.06066060066223
9,0.029326808,0.017409353,58.740806102752686
10,0.029569782,0.014987817,58.60530710220337
11,0.029524965,0.015566659,58.91245174407959
12,0.031540237,0.008269596,58.83009624481201
13,0.0307187,0.011998976,58.74931192398071
14,0.029642867,0.0075443434,59.17308783531189
15,0.030761803,0.010686923,59.81668519973755
16,0.0315554,0.01156747,59.392597913742065
17,0.030676741,0.0030245564,58.89078736305237
18,0.031168852,0.0070950114,58.879637002944946
19,0.03271284,0.0068668863,58.87479329109192
20,0.031392295,0.0072296653,58.89500713348389
21,0.031113088,0.0069727534,59.037707567214966
22,0.031705912,0.008143662,59.0291383266449
23,0.032323178,0.006072118,59.12164068222046
24,0.03218367,0.0056635058,59.073025703430176
25,0.032388657,0.0048763636,59.038572549819946
26,0.032327402,0.0037211701,59.26841711997986
27,0.032138743,0.0039416538,58.94150114059448
28,0.03358113,0.0050628693,58.73460388183594
29,0.03328094,0.0010693943,58.97723865509033
30,0.03367817,0.0047643716,58.97898316383362
31,0.032977317,0.003732026,59.09006190299988
32,0.033540275,0.0031971284,58.748552083969116
33,0.033491652,0.0031984115,59.94632887840271
34,0.033357408,0.002253157,59.32449555397034
35,0.03414349,0.00068745116,59.13579559326172
36,0.035103224,0.0040314193,58.52056813240051
37,0.034329213,0.001112005,58.537951707839966
38,0.034986988,0.0019138177,58.2539381980896
39,0.035429735,0.00077357073,58.326279401779175
40,0.035245653,0.0028700265,58.65329074859619
41,0.034201566,0.0048617325,58.423903465270996
42,0.034610964,0.0020282192,58.627047061920166
43,0.03528837,0.0024254709,58.24747109413147
44,0.035581745,0.0029053872,59.0142548084259
45,0.036097057,0.0024261253,59.262309551239014
46,0.034723267,0.0018353233,60.83856463432312
47,0.03569997,0.0033479368,61.13945817947388
48,0.035656556,0.0029055774,61.451051235198975
49,0.03554865,0.0021132943,59.83166980743408
50,0.035067555,0.0016162316,59.73473262786865
51,0.035329223,0.0033174255,59.20028734207153
52,0.03562188,0.002627844,59.296868085861206
